ae_id,name,start_date,tenure_months,region,specialty,status
1,AE_001,2022-01-10,48,Global,EOR,Active
2,AE_002,2025-02-23,11,Global,Payroll,Active
3,AE_003,2023-12-18,25,Global,Payroll,Active
4,AE_004,2023-03-30,34,Global,Generalist,Active
5,AE_005,2020-11-04,62,Global,EOR,Active
6,AE_006,2020-11-04,62,Global,CM,Active
7,AE_007,2020-04-24,69,Global,Payroll,Active
8,AE_008,2024-09-09,16,Global,Payroll,Active
9,AE_009,2023-04-04,33,Global,EOR,Active
10,AE_010,2023-11-01,26,Global,Payroll,Active
11,AE_011,2020-02-10,71,Global,EOR,Active
12,AE_012,2025-04-02,9,Global,EOR,Active
13,AE_013,2024-07-04,18,Global,EOR,Active
14,AE_014,2021-02-24,59,Global,CM,Active
15,AE_015,2020-12-25,61,Global,CM,Active
16,AE_016,2020-12-28,61,Global,CM,Active
17,AE_017,2021-08-24,53,Global,Payroll,Active
18,AE_018,2022-11-03,38,Global,EOR,Active
19,AE_019,2022-05-04,44,Global,EOR,Active
20,AE_020,2021-07-30,54,Global,Generalist,Active
21,AE_021,2023-04-25,33,Global,EOR,Active
22,AE_022,2020-10-02,63,Global,EOR,Active
23,AE_023,2021-07-31,54,Global,Payroll,Active
24,AE_024,2021-12-25,49,Global,EOR,Active
25,AE_025,2022-06-21,43,Global,CM,Active
26,AE_026,2024-04-02,21,Global,EOR,Active
27,AE_027,2021-01-29,60,Global,CM,Active
28,AE_028,2022-10-14,39,Global,Generalist,Active
29,AE_029,2023-03-17,34,Global,Generalist,Active
30,AE_030,2020-04-01,69,Global,Payroll,Active
31,AE_031,2023-04-16,33,Global,Generalist,Active
32,AE_032,2020-12-03,61,Global,Generalist,Active
33,AE_033,2020-05-08,68,Global,CM,Active
34,AE_034,2025-02-19,11,Global,Generalist,Active
35,AE_035,2025-03-25,10,Global,EOR,Active
36,AE_036,2024-05-18,20,Global,Generalist,Active
37,AE_037,2021-08-25,53,Global,Generalist,Active
38,AE_038,2020-07-12,66,Global,EOR,Active
39,AE_039,2023-09-15,28,Global,CM,Active
40,AE_040,2022-05-20,44,Global,EOR,Active
41,AE_041,2020-08-29,65,Global,EOR,Active
42,AE_042,2022-09-06,40,Global,Generalist,Active
43,AE_043,2020-03-09,70,Global,Generalist,Active
44,AE_044,2024-12-03,13,Global,CM,Active
45,AE_045,2021-05-26,56,Global,EOR,Active
46,AE_046,2023-08-03,29,Global,EOR,Active
47,AE_047,2021-09-08,52,Global,EOR,Active
48,AE_048,2022-10-25,39,Global,CM,Active
49,AE_049,2022-12-17,37,Global,EOR,Active
50,AE_050,2020-12-31,61,Global,Generalist,Active
51,AE_051,2025-04-01,9,Global,EOR,Active
52,AE_052,2024-03-13,22,Global,EOR,Active
53,AE_053,2025-02-01,11,Global,Payroll,Active
54,AE_054,2024-11-04,14,Global,EOR,Active
55,AE_055,2023-03-28,34,Global,Generalist,Active
56,AE_056,2024-12-28,13,Global,Generalist,Active
57,AE_057,2020-06-24,67,Global,EOR,Active
58,AE_058,2021-01-22,60,Global,EOR,Active
59,AE_059,2020-03-30,70,Global,EOR,Active
60,AE_060,2021-10-05,51,Global,EOR,Active
61,AE_061,2022-02-07,47,Global,CM,Active
62,AE_062,2021-06-20,55,Global,Payroll,Active
63,AE_063,2024-06-27,19,Global,EOR,Active
64,AE_064,2021-12-06,49,Global,CM,Active
65,AE_065,2021-07-09,54,Global,EOR,Active
66,AE_066,2022-12-09,37,Global,Generalist,Active
67,AE_067,2020-10-05,63,Global,EOR,Active
68,AE_068,2024-05-05,20,Global,CM,Active
69,AE_069,2020-05-27,68,Global,EOR,Active
70,AE_070,2025-05-06,8,Global,Generalist,Active
71,AE_071,2024-03-07,22,Global,EOR,Active
72,AE_072,2021-01-28,60,Global,Payroll,Active
73,AE_073,2020-01-11,72,Global,Payroll,Active
74,AE_074,2024-05-31,20,Global,EOR,Active
75,AE_075,2023-10-30,27,Global,Payroll,Active
76,AE_076,2023-12-12,25,Global,EOR,Active
77,AE_077,2024-03-05,22,Global,Payroll,Active
78,AE_078,2020-05-26,68,Global,Payroll,Active
79,AE_079,2021-12-10,49,Global,EOR,Active
80,AE_080,2020-08-17,65,Global,CM,Active
81,AE_081,2024-09-03,16,Global,Generalist,Active
82,AE_082,2023-05-17,32,Global,EOR,Active
83,AE_083,2021-10-16,51,Global,CM,Active
84,AE_084,2020-05-05,68,Global,CM,Active
85,AE_085,2021-09-07,52,Global,EOR,Active
