segment,volume_saos,effective_asp,effective_win_rate,effective_roi
CM.Marketing,0,5000.0,0.35,1750.0
CM.Marketing,50,5000.0,0.35,1750.0
CM.Marketing,100,5000.0,0.35,1750.0
CM.Marketing,200,5000.0,0.35,1750.0
CM.Marketing,300,5000.0,0.27999999999999997,1399.9999999999998
CM.Marketing,400,4708.822667921244,0.27999999999999997,1318.4703470179481
CM.Marketing,500,4260.718944831056,0.27999999999999997,1193.0013045526957
CM.Marketing,600,3855.2579290178314,0.27999999999999997,1079.4722201249926
CM.Marketing,800,3750.0,0.27999999999999997,1050.0
CM.Marketing,1000,3750.0,0.27999999999999997,1050.0
CM.Outbound,0,7000.0,0.15,1050.0
CM.Outbound,50,7000.0,0.15,1050.0
CM.Outbound,100,7000.0,0.15,1050.0
CM.Outbound,200,7000.0,0.15,1050.0
CM.Outbound,300,7000.0,0.12,840.0
CM.Outbound,400,6592.351735089741,0.12,791.0822082107688
CM.Outbound,500,5965.00652276348,0.12,715.8007827316176
CM.Outbound,600,5397.361100624964,0.12,647.6833320749956
CM.Outbound,800,5250.0,0.12,630.0
CM.Outbound,1000,5250.0,0.12,630.0
CM.Partner,0,8000.0,0.2,1600.0
CM.Partner,50,8000.0,0.2,1600.0
CM.Partner,100,8000.0,0.2,1600.0
CM.Partner,200,8000.0,0.2,1600.0
CM.Partner,300,8000.0,0.16000000000000003,1280.0000000000002
CM.Partner,400,7534.11626867399,0.16000000000000003,1205.4586029878387
CM.Partner,500,6817.150311729691,0.16000000000000003,1090.7440498767508
CM.Partner,600,6168.41268642853,0.16000000000000003,986.946029828565
CM.Partner,800,6000.0,0.16000000000000003,960.0000000000002
CM.Partner,1000,6000.0,0.16000000000000003,960.0000000000002
EOR.Marketing,0,10000.0,0.65,6500.0
EOR.Marketing,50,10000.0,0.65,6500.0
EOR.Marketing,100,10000.0,0.65,6500.0
EOR.Marketing,200,10000.0,0.65,6500.0
EOR.Marketing,300,10000.0,0.52,5200.0
EOR.Marketing,400,9417.645335842488,0.52,4897.175574638094
EOR.Marketing,500,8521.437889662113,0.52,4431.147702624299
EOR.Marketing,600,7710.515858035663,0.52,4009.4682461785446
EOR.Marketing,800,7500.0,0.52,3900.0
EOR.Marketing,1000,7500.0,0.52,3900.0
EOR.Outbound,0,12500.0,0.3,3750.0
EOR.Outbound,50,12500.0,0.3,3750.0
EOR.Outbound,100,12500.0,0.3,3750.0
EOR.Outbound,200,12500.0,0.3,3750.0
EOR.Outbound,300,12500.0,0.24,3000.0
EOR.Outbound,400,11772.056669803109,0.24,2825.293600752746
EOR.Outbound,500,10651.797362077641,0.24,2556.4313668986338
EOR.Outbound,600,9638.144822544578,0.24,2313.1547574106985
EOR.Outbound,800,9375.0,0.24,2250.0
EOR.Outbound,1000,9375.0,0.24,2250.0
EOR.Partner,0,15000.0,0.35,5250.0
EOR.Partner,50,15000.0,0.35,5250.0
EOR.Partner,100,15000.0,0.35,5250.0
EOR.Partner,200,15000.0,0.35,5250.0
EOR.Partner,300,15000.0,0.27999999999999997,4200.0
EOR.Partner,400,14126.46800376373,0.27999999999999997,3955.411041053844
EOR.Partner,500,12782.15683449317,0.27999999999999997,3579.003913658087
EOR.Partner,600,11565.773787053493,0.27999999999999997,3238.4166603749777
EOR.Partner,800,11250.0,0.27999999999999997,3149.9999999999995
EOR.Partner,1000,11250.0,0.27999999999999997,3149.9999999999995
Payroll.Marketing,0,12000.0,0.25,3000.0
Payroll.Marketing,50,12000.0,0.25,3000.0
Payroll.Marketing,100,12000.0,0.25,3000.0
Payroll.Marketing,200,12000.0,0.25,3000.0
Payroll.Marketing,300,12000.0,0.2,2400.0
Payroll.Marketing,400,11301.174403010984,0.2,2260.234880602197
Payroll.Marketing,500,10225.725467594537,0.2,2045.1450935189075
Payroll.Marketing,600,9252.619029642796,0.2,1850.5238059285593
Payroll.Marketing,800,9000.0,0.2,1800.0
Payroll.Marketing,1000,9000.0,0.2,1800.0
Payroll.Outbound,0,15000.0,0.1,1500.0
Payroll.Outbound,50,15000.0,0.1,1500.0
Payroll.Outbound,100,15000.0,0.1,1500.0
Payroll.Outbound,200,15000.0,0.1,1500.0
Payroll.Outbound,300,15000.0,0.08000000000000002,1200.0000000000002
Payroll.Outbound,400,14126.46800376373,0.08000000000000002,1130.1174403010987
Payroll.Outbound,500,12782.15683449317,0.08000000000000002,1022.5725467594538
Payroll.Outbound,600,11565.773787053493,0.08000000000000002,925.2619029642797
Payroll.Outbound,800,11250.0,0.08000000000000002,900.0000000000002
Payroll.Outbound,1000,11250.0,0.08000000000000002,900.0000000000002
Payroll.Partner,0,20000.0,0.15,3000.0
Payroll.Partner,50,20000.0,0.15,3000.0
Payroll.Partner,100,20000.0,0.15,3000.0
Payroll.Partner,200,20000.0,0.15,3000.0
Payroll.Partner,300,20000.0,0.12,2400.0
Payroll.Partner,400,18835.290671684976,0.12,2260.234880602197
Payroll.Partner,500,17042.875779324226,0.12,2045.145093518907
Payroll.Partner,600,15421.031716071326,0.12,1850.523805928559
Payroll.Partner,800,15000.0,0.12,1800.0
Payroll.Partner,1000,15000.0,0.12,1800.0
