month,hc_tenured,hc_ramping,hc_total,mentoring_tax,shrinkage_rate,effective_capacity_saos,capacity_flag
1,99.16666666666667,0.0,99.16666666666667,0.012605042016806721,0.16,3692.2500000000005,False
2,98.34027777777779,16.666666666666664,115.00694444444446,0.016947955652849376,0.16,4272.262500000001,False
3,97.52077546296297,41.666666666666664,139.18744212962963,0.004272593862062868,0.16,5242.5353125,False
4,96.70810233410495,50.0,146.70810233410495,0.0025850988072985415,0.16,5534.316268229168,False
5,95.90220148132074,53.333333333333336,149.23553481465407,0.000868940775562535,0.16,5637.353215993924,False
6,95.1030164689764,55.0,150.10301646897642,0.0031544740759917238,0.16,5660.394022527308,False
7,94.31049133173494,59.0,153.31049133173494,0.0010603274205014197,0.16,5790.636572339581,False
8,93.52457057063715,61.0,154.52457057063714,0.0,0.16,5841.028767570084,False
9,92.74519914921518,61.0,153.74519914921518,0.0,0.16,5811.568527840334,False
10,91.97232248963839,61.0,152.97232248963837,0.0,0.16,5782.353790108331,False
11,91.2058864688914,61.0,152.2058864688914,0.0,0.16,5753.382508524095,False
12,90.44583741498398,61.0,151.445837414984,0.0,0.16,5724.652654286395,False
